code	name
O26.0	Rasedusaegne liigkaaluiive
O26.1	Rasedusaegne vaegkaaluiive
O26.2	Rasedushooldus harjumusliku raseduskatkemise korral
O26.3	Rasedusaegne peetunud emakasisene kontratseptiivvahend
O26.4	Rasedusherpes
O26.5	Ema hüpotensioonisündroom; Seliliasendi hüpotensioonisündroom
O26.6	Maksa haigusseisundid raseduse, sünnitamise ja sünnitusjärgse perioodi ajal
O26.7	Häbemeliiduse [sümfüüsi] subluksatsioon raseduse, sünnitamise ja sünnitusjärgse perioodi ajal
O26.8	Muud täpsustatud raseduspuhused seisundid; Raseduspuhune kurnatus ja roidumus; Raseduspuhune perifeerne neuriit; Raseduspuhune neeruhaigus
O26.9	Raseduspuhune täpsustamata seisund
O28	Ema sünnituseelse sõeluuringu hälbelised leiud
O28.0	Ema sünnituseelse sõeluuringu hälbeline hematoloogiline leid
O28.1	Ema sünnituseelse sõeluuringu hälbeline biokeemiline leid
O28.2	Ema sünnituseelse sõeluuringu hälbeline tsütoloogiline leid
O28.3	Ema sünnituseelse sõeluuringu hälbeline ultrasonograafiline leid
O28.4	Ema sünnituseelse sõeluuringu hälbeline radioloogiline leid
O28.5	Ema sünnituseelse sõeluuringu hälbeline kromosoomide ja geneetiline leid
O28.8	Ema sünnituseelse sõeluuringu muud hälbelised leiud
O28.9	Ema sünnituseelse sõeluuringu täpsustamata hälbeline leid
O29	Rasedusaegsed anesteesiatüsistused
O29.0	Rasedusaegse anesteesia põhjustatud kopsutüsistused; Rasedusaegse anesteesiatekkene+aspiratsioonipneumoniit; Rasedusaegse anesteesiatekkene+maosisu või teisiti täpsustamata nõrede inhalatsioon; Rasedusaegse anesteesiatekkene+Mendelsoni sündroom; Rasedusaegse anesteesiatekkene+kopsu rõhukollaps
O29.1	Rasedusaegse anesteesia põhjustatud südametüsistused; Rasedusaegne anesteesiatekkene+südameseiskus; Rasedusaegne anesteesiatekkene+südamepuudulikkus
O29.2	Rasedusaegse anesteesia põhjustatud kesknärvisüsteemi tüsistused; Rasedusaegse anesteesiatekkene peaaju hapnikuvaegus
O29.3	Rasedusaegse paikse anesteesia põhjustatud toksiline reaktsioon
O29.4	Rasedusaegse spinaal- ja epiduraalanesteesia põhjustatud peavalu
O29.5	Rasedusaegse spinaal- ja epiduraalanesteesia põhjustatud muud tüsistused
O29.6	Rasedusaegne ebaõnnestunud või raske intubatsioon
O29.8	Muud rasedusaegsed anesteesiatüsistused
O29.9	Rasedusaegsed täpsustamata anesteesiatüsistused
O30	Mitmikrasedus
O30.0	Kaksikrasedus
O30.1	Kolmikrasedus
O30.2	Nelikrasedus
O30.8	Muu mitmikrasedus
O30.9	Täpsustamata mitmikrasedus; Teisiti täpsustamata mitmikrasedus
O30-O48	Vililase ja amnioniõõne ning sünnituse võimalike probleemidega seotud ema hooldamine
O31	Mitmikrasedusele iseloomulikud tüsistused
O31.0	Pabervililane; Kompressfeetus e lamevililane
O31.1	Jätkuv rasedus pärast ühe või mitme vililase aborti
O31.2	Jätkuv rasedus pärast ühe või mitme vililase emakasisest surma
O31.8	Mitmikrasedusele iseloomulikud muud tüsistused
O32	Ema hooldamine vililase teadaoleva või kahtlustatava vääreesasetsuse korral
O32.0	Ema hooldamine ebapüsiva asetsuse korral
O32.1	Ema hooldamine tuharseisu (tuharate eesasetsuse) korral
O32.2	Ema hooldamine risti ja põikiseisu korral; Põiki asetsus; Risti asetsus
O32.3	Ema hooldamine näo-, kulmu- või lõuaeesseisu korral
O32.4	Ema hooldamine pea kõrge eesseisu korral raseduse lõpul; Pea ebaõnnestunud sisenemine vaagnasse
O32.5	Ema hooldamine mitmikraseduse korral ühe või mitme vililase vääreesasetsuse puhul
O32.6	Ema hooldamine liiteesseisu korral
O32.8	Ema hooldamine vililase muu vääreesasetsuse korral
O32.9	Ema hooldamine vililase täpsustamata vääreesasetsuse korral
O33	Ema hooldamine teadaoleva või kahtlustatava disproportsiooni korral
O33.0	Ema hooldamine ema vaagnaluude deformatsiooni tekkese disproportsiooni korral; Teisiti täpsustamata disproportsioon vaagnadeformatsiooni tõttu
O33.1	Ema hooldamine üldiselt kitsenenud vaagna tekkese disproportsiooni korral; Disproportsiooni põhjustav teisiti täpsustamata kitsas vaagen
O33.2	Ema hooldamine vaagnasissepääsu kitsenemuse tekkese disproportsiooni korral; Disproportsiooni põhjustav kitsas vaagnasissepääs
O33.3	Ema hooldamine vaagnaväljapääsu kitsenemuse tekkese disproportsiooni korral; Disproportsiooni põhjustav vaagnaõõne kitsenemus; Disproportsiooni põhjustav vaagnaväljapääsu kitsenemus
O33.4	Ema hooldamine ema ja vililase segapäritoluga disproportsiooni korral
O33.5	Ema hooldamine ebatavaliselt suure vililase tekkese disproportsiooni korral; Vililasetekkene disproportsioon normaalselt kujunenud vililase korral; Teisiti täpsustamata vililase-disproportsioon
O33.6	Ema hooldamine vililase hüdrotseefaluse tekkese disproportsiooni korral
O33.7	Ema hooldamine vililase muude deformatsioonide tekkese disproportsiooni korral; Disproportsiooni põhjustav+kaksikute liitumine; Disproportsiooni põhjustav+vililase-astsiit; Disproportsiooni põhjustav+vililase-hüdrops; Disproportsiooni põhjustav+vililase-meningomüelotseele; Disproportsiooni põhjustav+vililase-sakraalteratoom; Disproportsiooni põhjustav+vililase-kasvaja
O33.8	Ema hooldamine muu päritoluga disproportsiooni korral
O33.9	Ema hooldamine täpsustamata disproportsiooni korral; Teisiti täpsustamata pea-vaagna disproportsioon; Teisiti täpsustamata vililase-vaagna disproportsioon
O34	Ema hooldamine teadaoleva või kahtlustatava vaagnaelundite anomaalia korral
O34.0	Ema hooldamine emaka kaasasündinud väärarendi korral; Ema hooldamine+kahekordse emaka korral; Ema hooldamine+kahesarvelise emaka korral
O34.1	Ema hooldamine emakakeha kasvaja korral; Ema hooldamine+emakakeha polüübi korral; Ema hooldamine+fibroidemaka korral
O34.2	Ema hooldamine eelnenud lõikusest tingitud emaka armi korral; Ema hooldamine eelnenud keisrilõike armi korral
O34.3	Ema hooldamine emakakaela puudulikkuse korral; Ema hooldamine+ringõmbluse korral emakakaela puudulikkust mainides või mitte; Ema hooldamine+Shirodkari õmbluse korral emakakaela puudulikkust mainides või mitte
O34.4	Ema hooldamine emakakaela muude anomaaliate korral; Ema hooldamine+emakakaela polüübi korral; Ema hooldamine+emakakaela eelnenud lõikuse korral; Ema hooldamine+emakakaela striktuuri e ahendi korral; Ema hooldamine+emakakaela stenoosi e kitsenemuse korral; Ema hooldamine+emakakaela kasvaja korral
O34.5	Ema hooldamine raseda emaka muude anomaaliate korral; Ema hooldamine raseda emaka+pitsumuse e inkartseratsiooni korral; Ema hooldamine raseda emaka+väljalange e prolapsi korral; Ema hooldamine raseda emaka+taha(poole)käändumuse e retroversiooni korral
O34.6	Ema hooldamine tupe anomaaliate korral; Ema hooldamine tupe+eelnenud lõikuse korral; Ema hooldamine tupe+-vaheseina korral; Ema hooldamine+tupe (omandatud; kaasasündinud) kitsenemuse korral; Ema hooldamine tupe+-ahendi e striktuuri korral; Ema hooldamine tupe+-kasvaja korral
O34.7	Ema hooldamine häbeme ja lahkliha anomaaliate korral; Ema hooldamine+lahklihafibroosi korral; Ema hooldamine+lahkliha või häbeme eelnenud lõikuse korral; Ema hooldamine+jäiga lahkliha korral; Ema hooldamine+häbemekasvaja korral
O34.8	Ema hooldamine vaagnaelundite muude anomaaliate korral; Ema hooldamine+kusepõiesonga e tsüstotseele korral; Ema hooldamine+vaagnapõhja (varasema) parandusmenetluse korral; Ema hooldamine+rippkõhu korral; Ema hooldamine+pärasoolesonga e rektotseele korral; Ema hooldamine+jäiga vaagnapõhja korral
O34.9	Ema hooldamine vaagnaelundi täpsustamata anomaalia korral
O35	Ema hooldamine vililase teadaoleva või kahtlustatava anomaalia või kahjustuse korral
O35.0	Ema hooldamine vililase kesknärvisüsteemi (kahtlustatud) väärarendi korral; Ema hooldamine vililase (kahtlustatud)+peaajutuse e anentsefaalia korral; Ema hooldamine vililase (kahtlustatud)+lülisambalõhestuse e spina bifida korral
O35.1	Ema hooldamine vililase (kahtlustatud) kromosoomianomaalia korral
O35.2	Ema hooldamine vililase (kahtlustatud) päriliku haiguse korral
O35.3	Ema hooldamine ema viirushaigusest tingitud vililase (kahtlustatud) kahjustuse korral; Ema hooldamine vililase (kahtlustatud) kahjustuse korral ema+tsütomegaloviirusnakkusest; Ema hooldamine vililase (kahtlustatud) kahjustuse korral ema+punetistest
O35.4	Ema hooldamine vililase (kahtlustatud) alkoholikahjustuse korral
O35.5	Ema hooldamine vililase (kahtlustatud) ravimikahjustuse korral; Ema hooldamine vililase (kahtlustatud) ravimisõltuvusest tingitud kahjustuse korral
O35.6	Ema hooldamine vililase (kahtlustatud) kiirguskahjustuse korral
O35.7	Ema hooldamine vililase (kahtlustatud) muudest meditsiinimenetlustest tingitud kahjustuse korral; Ema hooldamine vililase (kahtlustatud) kahjustuse korral+amniotsenteesi tõttu; Ema hooldamine vililase (kahtlustatud) kahjustuse korral+biopsiamenetluste tõttu; Ema hooldamine vililase (kahtlustatud) kahjustuse korral+hematoloogiliste uuringute tõttu; Ema hooldamine vililase (kahtlustatud) kahjustuse korral+emakasisese kontratseptiivseadme tõttu; Ema hooldamine vililase (kahtlustatud) kahjustuse korral+emakasisese lõikuse tõttu
O35.8	Ema hooldamine vililase muude (kahtlustatud) anomaaliate ja kahjustuste korral; Ema hooldamine vililase (kahtlustatud) kahjustusest ema+listerioosi tõttu; Ema hooldamine vililase (kahtlustatud) kahjustusest ema+toksoplasmoosi tõttu
O35.9	Ema hooldamine vililase (kahtlustatud) täpsustamata anomaalia ja kahjustuse korral
O36	Ema hooldamine vililase muude teadaolevate või kahtlustatavate häirete korral
O36.0	Ema hooldamine reesus-isoimmunisatsiooni korral; Anti-D [Rh] antikehad; Reesus-sobimatus (vililasehüdropsi e -vesitõvega)
O36.1	Ema hooldamine muu isoimmunisatsiooni korral; ABO isoimmunisatsioon; Teisiti täpsustamata isoimmunisatsioon (vililasevesitõvega)
O36.2	Ema hooldamine vililasevesitõve korral; Teisiti täpsustamata vililasevesitõbi; Isoimmunisatsiooniga mitteseonduv vililasevesitõbi
O36.3	Ema hooldamine vililase hüpoksia tunnuste korral
O36.4	Ema hooldamine emakasisese surma korral
O36.5	Ema hooldamine vililase halva kasvu korral; Ema hooldamine teadaoleva või kahtlustatud - vililane raseduskestuse kohta kerge; Ema hooldamine teadaoleva või kahtlustatud platsenta puudulikkuse korral; Ema hooldamine teadaoleva või kahtlustatud - vililane raseduskestuse kohta väike
O36.6	Ema hooldamine vililase liigkasvu korral; Ema hooldamine vililase teadaoleva või kahtlustatud liigsuuruse korral raseduskestuse suhtes
O36.7	Ema hooldamine abdominaalraseduse ja eluvõimelise vililase korral
O36.8	Ema hooldamine muude täpsustatud vililasehäirete korral
O36.9	Ema hooldamine täpsustamata vililasehäirete korral
O40	Looteveeliigsus e polühüdramnion; Hüdramnion
O41	Lootevee ja lootekestade muud haigusseisundid
O41.0	Looteveevähesus e oligohüdramnion; Looteveevähesus lootevee puhkemist mainimata
O41.1	Looteveekoti ja-kestade nakkus; Lootevesikesta- e amnionipõletik e amnioniit; Koorioamnionipõletik e korioamnioniit; Lootekestapõletik e membraniit; Platsentapõletik e platsentiit
O41.8	Lootevee ja -kestade muud täpsustatud haigusseisundid
O41.9	Lootevee ja -kestade täpsustamata haigusseisund
O42	Lootevee enneaegne puhkemine
O42.0	Lootevee enneaegne puhkemine kuni 24 tundi enne sünnitamise algust
O42.1	Lootevee enneaegne puhkemine varem kui 24 tundi enne sünnitamise algust
O42.2	Lootevee enneaegne puhkemine, sünnitamine edasilükatud ravimisega
O42.9	Lootevee täpsustamata enneaegne puhkemine
O43	Platsenta e emakoogi haigusseisundid
O43.0	Platsenta transfusioonisündroomid; Transfusioon vililaselt emale; Transfusioon emalt vililasele; Transfusioon ühelt kaksikult teisele
O43.1	Platsenta väärarend; Teisiti täpsustamata anomaalne platsenta; Vallplatsenta e vallaatplatsenta
O43.8	Platsenta muud haigusseisundid; Platsenta-düsfunktsioon e väärtalitlus; Platsenta-infarkt
O43.9	Platsenta täpsustamata haigusseisund
O44	Platsenta eesasetsus
O44.0	Platsenta eesasetsus täpsustatuna kui verejooksuta; Madal platsentakinnitus täpsustatuna kui verejooksuta
O44.1	Platsenta eesasetsus verejooksuga; Teisiti täpsustamata või verejooksuga+servkinnitusega eesasetsev platsenta; Teisiti täpsustamata või verejooksuga+osaline eesasetsev platsenta; Teisiti täpsustamata või verejooksuga+täielik eesasetsev platsenta
O45	Platsenta enneaegne irdumine
O45.0	Platsenta enneaegne irdumine koagulatsioonidefekti e hüübivuspuudega; Platsenta irdumine (ülemäärase) verejooksuga seoses+afibrinogeneemiaga; Platsenta irdumine (ülemäärase) verejooksuga seoses+dissemineeritud soontesisese hüübimisega; Platsenta irdumine (ülemäärase) verejooksuga seoses+hüperfibrinolüüsiga; Platsenta irdumine (ülemäärase) verejooksuga seoses+hüperfibrinogeneemiaga
O45.8	Platsenta muu enneaegne irdumine
O45.9	Platsenta täpsustamata enneaegne irdumine; Teisiti täpsustamata platsenta irdumine
O46	Mujal klassifitseerimata sünnituseelne verejooks
O46.0	Sünnituseelne verejooks koagulatsioonidefekti e hüübivuspuudega; Sünnituseelne (ülemäärane) verejooks seoses+afibrinogeneemiaga; Sünnituseelne (ülemäärane) verejooks seoses+dissemineeritud soontesisese hüübimisega; Sünnituseelne (ülemäärane) verejooks seoses+hüperfibrinolüüsiga; Sünnituseelne (ülemäärane) verejooks seoses+hüperfibrinogeneemiaga
O46.8	Muu sünnituseelne verejooks
O46.9	Täpsustamata sünnituseelne verejooks
O47	Ebatuhud
O47.0	Ebatuhud enne raseduse 37 täisnädala lõppu
O47.1	Ebatuhud raseduse 37-ndal täisnädalal või hiljem
O47.9	Täpsustamata ebatuhud
O48	Ülekantud rasedus
O60	Enneaegne sünnitus; [spontaansünnituse algus enne raseduse 37 täisnädala lõppu]
O60-O75	Sünnitamise ja sünnituse tüsistused
O61	Sünnitamise ebaõnnestunud stimulatsioon
O61.0	Sünnitamise ebaõnnestunud ravimstimulatsioon; (Sünnitamise) ebaõnnestunud stimulatsioon+oksütotsiiniga; (Sünnitamise) ebaõnnestunud stimulatsioon+prostaglandiinidega
O61.1	Sünnitamise ebaõnnestunud instrumentaalstimulatsioon; (Sünnitamise) ebaõnnestunud+mehhaaniline stimulatsioon; (Sünnitamise) ebaõnnestunud+kirurgiline stimulatsioon
O61.8	Sünnitamise muu ebaõnnestunud stimulatsioon
O61.9	Sünnitamise täpsustamata ebaõnnestunud stimulatsioon
O62	Sünnitamisjõudude anomaaliad
O62.0	Esmased mittevastavad kokkutõmbed e kontraktsioonid; Emakakaela puudulik avanemine; Esmane emaka hüpotooniline talitlushäire
O62.1	Teisene emakainertsus e tuhu[de]nõrkus; Sünnitamise aktiivse faasi peetus; Teisene emaka hüpotooniline talitlushäire
O62.2	Muu emakainertsus e tuhu[de]nõrkus; Emakaatoonia e emakalõtvus; Katkendlik (hooti) sünnitamine; Hüpotoonilise emaka teisiti täpsustamata talitlushäire; Korrapäratu sünnitamine; Nõrgad kokkutõmbed e kontraktsioonid; Teisiti täpsustamata emakainertsus
O62.3	Äkksünnitamine
O62.4	Emaka hüpertoonilised, koordineerimatud ja pikenenud kokkutõmbed; Kontraktsioonrõngadüstookia; Koordineerimatu sünnitamine; Emaka liivakellkontraktsioon; Hüpertoonilise emaka talitlushäire; Koordineerimatu emakategevus; Tetaanilised kokkutõmbed; Teisiti täpsustamata emakadüstookia
O62.8	Sünnitamisjõudude muud anomaaliad
O62.9	Sünnitamisjõudude täpsustamata anomaaliad
O63	Pikaleveninud sünnitamine
O63.0	Pikenenud (sünnitamise) esimene periood
O63.1	Pikenenud (sünnitamise) teine periood
O63.2	Kaksikute, kolmikute jt korral teise sünnituse hilinemine
O63.9	Täpsustamata pikaleveninud sünnitamine; Teisiti täpsustamata pikaleveninud sünnitamine
O64	Sünnitamise takistus vililase väärasendi või -eesasetsuse tõttu
O64.0	Sünnitamise takistus vililase pea mittetäieliku rotatsiooni tõttu; Süva ristiseis; Sünnitamise takistus püsiva+kukal-niudeluu asetsuse tõttu; Sünnitamise takistus püsiva+kukalseisu tagumise teisendi tõttu; Sünnitamise takistus püsiva+kukal-ristluu asetsuse tõttu; Sünnitamise takistus püsiva+kukal-ristiseisu tõttu
O64.1	Sünnitamise takistus tuharseisu tõttu
O64.2	Sünnitamise takistus näguseisu tõttu; Sünnitamise takistus lõugseisu tõttu
O64.3	Sünnitamise takistus otsmikseisu tõttu
O64.4	Sünnitamise takistus õla eesseisu tõttu; Käe väljalange
O64.5	Sünnitamise takistus liiteesseisu tõttu
O64.8	Sünnitamise takistus muu väärasendi või -eesseisu tõttu
O64.9	Sünnitamise takistus täpsustamata väärasendi või -eesseisu tõttu
O65	Sünnitamise takistus ema vaagnaanomaalia tõttu
O65.0	Sünnitamise takistus vaagnadeformatsiooni tõttu
O65.1	Sünnitamise takistus üldiselt kitsenenud vaagna tõttu
O65.2	Sünnitamise takistus vaagna kitsenenud sissepääsu tõttu
O65.3	Sünnitamise takistus vaagna kitsenenud keskosa ja väljapääsu tõttu
O65.4	Sünnitamise takistus vaagna-vililase täpsustamata disproportsiooni tõttu
O65.5	Sünnitamise takistus ema vaagnaelundite anomaalia tõttu; Sünnitamise takistus O34.** all loetletud seisundite tõttu
O65.8	Sünnitamise takistus ema muude vaagnaanomaaliate tõttu
O65.9	Sünnitamise takistus ema täpsustamata vaagnaanomaalia tõttu
O66	Sünnitamise muu takistus
O66.0	Sünnitamise takistus õladüstookia tõttu; Kiildunud õlad
O66.1	Sünnitamise takistus haakunud kaksikute tõttu
O66.2	Sünnitamise takistus ebatavaliselt suure vililase tõttu
O66.3	Sünnitamise takistus vililase muude anomaaliate tõttu; Düstookia liitunud kaksikute tõttu; Düstookia vililase astsiidi tõttu; Düstookia vililase vesitõve tõttu; Düstookia vililase meningomüelotseele tõttu; Düstookia vililase sakraalteratoomi tõttu; Düstookia vililase kasvaja tõttu; Düstookia vililase hüdrotsefaalia tõttu
O66.4	Täpsustamata ebaõnnestunud sünnitamiskatse; Täpsustamata ebaõnnestunud sünnitamiskatse järgneva sünnitusega keisrilõike abil
O66.5	Täpsustamata ebaõnnestunud vaakumekstraktori ja tangide rakendus; Täpsustamata ebaõnnestunud vaakumekstraktori ja tangide rakendus järgneva sünnitusega tangide või keisrilõike abil
O66.8	Muu täpsustatud sünnitamise takistus
O66.9	Täpsustamata sünnitamise takistus; Teisiti täpsustamata düstookia; Vililasepoolne teisiti täpsustamata düstookia; Emapoolne teisiti täpsustamata düstookia
O67	Mujal klassifitseerimata sünnitusaegse verejooksuga tüsistunud sünnitamine ja sünnitus
O67.0	Sünnitusaegne verejooks koagulatsioonidefekti e hüübivuspuudega; Sünnitusaegne (ülemäärane) verejooks seoses+afibrinogeneemiaga; Sünnitusaegne (ülemäärane) verejooks seoses+dissemineeritud soontesisese hüübimisega; Sünnitusaegne (ülemäärane) verejooks seoses+hüperfibrinolüüsiga; Sünnitusaegne (ülemäärane) verejooks seoses+hüperfibrinogeneemiaga
O67.8	Sünnitusaegne muu verejooks; Sünnitusaegne ülemäärane verejooks
O67.9	Sünnitusaegne täpsustamata verejooks
O68	Vililasestressiga [-distressiga] tüsistunud sünnitamine ja sünnitus
O68.0	Vililase südamelöögisageduse anomaaliaga tüsistunud sünnitamine ja sünnitus; Vililase bradükardia; Vililase südamelöögisageduse korrapäratus; Vililase tahhükardia
O68.1	Mekooniumiga lootevees tüsistunud sünnitamine ja sünnitus
O68.2	Vililase südamelöögisageduse anomaaliaga ning mekooniumiga lootevees tüsistunud sünnitamine ja sünnitus
O68.3	Biokeemiliselt tõestatud vililasestressiga tüsistunud sünnitamine ja sünnitus; Vililase hälbeline+atsideemia; Vililase hälbeline+happe-leelise tasakaal
O68.8	Muul viisil tõestatud vililasestressiga tüsistunud sünnitamine ja sünnitus; Vililasestressi tõestus+elektrokardiograafiliselt; Vililasestressi tõestus+ultraheliga
O68.9	Täpsustamata vililasestressiga tüsistunud sünnitamine ja sünnitus
O69	Nabaväädi komplikatsioonidega tüsistunud sünnitamine ja sünnitus
O69.0	Nabaväädi väljalangega tüsistunud sünnitamine ja sünnitus
O69.1	Nabaväädi ümber kaela kompressiooniga tüsistunud sünnitamine ja sünnitus
O69.2	Nabaväädi muu keerdumusega tüsistunud sünnitamine ja sünnitus; Ühe amnioni e lootevesikesta kaksikute nabaväätide keerdumus; Nabaväädisõlm
O69.3	Lühikese nabaväädiga tüsistunud sünnitamine ja sünnitus
O69.4	Eesasetsevate veresoontega tüsistunud sünnitamine ja sünnitus; Verejooks eesasetsevatest veresoontest
O69.5	Nabaväädi veresoonte kahjustusega tüsistunud sünnitamine ja sünnitus; Nabaväädi-muljutus; Nabaväädi-hematoom; Nabaväädiveresoonte tromboos
O69.8	Nabaväädi muude komplikatsioonidega tüsistunud sünnitamine ja sünnitus
O69.9	Nabaväädi täpsustamata komplikatsiooniga tüsistunud sünnitamine ja sünnitus
O70	Sünnitusaegne lahkliharebend
O70.0	Sünnitusaegne esimese astme lahkliharebend; Sünnitusaegne lahkliharebend või käristus+, mis on pindmine rebestus; Sünnitusaegne lahkliharebend või käristus+mis hõlmab häbememokkade kida; Sünnitusaegne lahkliharebend või käristus+mis hõlmab häbememokad; Sünnitusaegne lahkliharebend või käristus+mis hõlmab naha; Sünnitusaegne lahkliharebend või käristus+mis hõlmab tupe; Sünnitusaegne lahkliharebend või käristus+mis hõlmab häbeme
O70.1	Sünnitusaegne teise astme lahkliharebend; Sünnitusaegne lahkliharebend või käristus, nagu alajaotises O70.0 kaasates ka+vaagnapõhja; Sünnitusaegne lahkliharebend või käristus, nagu alajaotises O70.0 kaasates ka+lahklihalihaseid; Sünnitusaegne lahkliharebend või käristus, nagu alajaotises O70.0 kaasates ka+tupelihaseid
O70.2	Sünnitusaegne kolmanda astme lahkliharebend; Sünnitusaegne lahkliharebend või käristus, nagu alajaotises O70.1 kaasates ka+pärakusfinkterit; Sünnitusaegne lahkliharebend või käristus, nagu alajaotises O70.1 kaasates ka+pärasoole-tupe e rektovaginaalvaheseina; Sünnitusaegne lahkliharebend või käristus, nagu alajaotises O70.1 kaasates ka+teisiti täpsustamata sfinkterit
O70.3	Sünnitusaegne neljanda astme lahkliharebend; Sünnitusaegne lahkliharebend või käristas, nagu alajaotises O70.2 kaasates ka+pärakulimaskesta; Sünnitusaegne lahkliharebend või käristas, nagu alajaotises O70.2 kaasates ka+pärasoolelimaskesta
O70.9	Sünnitusaegne täpsustamata lahkliharebend
O71	Muu sünnitusabitrauma
O71.0	Emakarebend enne sünnitamise algust
O71.1	Emakarebend sünnitamise ajal; Enne sünnitamise algust kindlaksmääramata (jäänud) emakarebend
O71.2	Sünnitusjärgne emakaümberkääne e-inversioon
O71.3	Sünnitusabitekkene emakakaelarebend; Emakakaela võrujas irre e anulaarne ablatsioon
O71.4	Sünnitusabitekkene kõrge ainult tuperebend; Tupeseina rebend lahkliharebendit mainimata
O71.5	Sünnitusabitekkene muu vaagnaelundite vigastus; Kusepõie sünnitusabivigastus; Kusiti sünnitusabivigastus
O71.6	Vaagnaliigeste ja -sidemete sünnitusabitekkene kahjustus; Sünnitusabitekkene sisemise sümfüüsikõhre ärarebimine e avulsioon; Sünnitusabitekkene õndraluuvigastus; Sünnitusabitekkene häbemeliiduse traumaatiline lahutamine e separatsioon
O71.7	Vaagna sünnitusabihematoom; Lahkliha sünnitusabihematoom; Tupe sünnitusabihematoom; Häbeme sünnitusabihematoom
O71.8	Muu täpsustatud sünnitusabitrauma
O71.9	Täpsustamata sünnitusabitrauma
O72	Sünnitusjärgne verejooks
O72.0	Kolmanda e.platsentaarperioodi verejooks; Peetunud või liitunud platsentaga seotud verejooks; Teisiti täpsustamata peetunud platsenta
O72.1	Muu vahetu sünnitusjärgne verejooks; Platsenta sünnile järgnev verejooks; Teisiti täpsustamata sünnitusjärgne (atooniline) verejooks
O72.2	Hiline ja teisene e sekundaarne sünnitusjärgne verejooks; Peetunud platsenta- või lootekestaosadega seotud verejooks; Teisiti täpsustamata eostumistulemuste sünnitusjärgne peetus
O72.3	Sünnitusjärgsed koagulatsioonidefektid e verehüübivuspuuded; Sünnitusjärgne afibrinogeneemia; Sünnitusjärgne fibrinolüüs
O73	Platsenta ja lootekestade verejooksuta peetus
O73.0	Platsenta verejooksuta peetus; Külgekasvanud e akreetne platsenta verejooksuta
O73.1	Platsenta- ja lootekestaosade peetus verejooksuta; Teisiti täpsustamata eostumistulemuste sünnitusjärgne peetus verejooksuta
O74	Sünnitamis- ja sünnitusaegse anesteesia tüsistused
O74.0	Sünnitamis- ja sünnitusaegse anesteesia tekkene aspiratsioonipneumoonia; Sünnitamis- ja sünnitusaegse anesteesia tekkene+maosisu või teisiti täpsustamata -nõrede sissehingamine; Sünnitamis- ja sünnitusaegse anesteesia tekkene+Mendelsoni sündroom
O74.1	Sünnitamis- ja sünnitusaegse anesteesia tekkesed muud kopsutüsistused; Sünnitamis- ja sünnitusaegse anesteesia tekkene kopsukollaps
O74.2	Sünnitamis- ja sünnitusaegse anesteesia tekkesed südametüsistused; Sünnitamis- ja sünnitusaegse anesteesia tekkene südame-+seiskus; Sünnitamis- ja sünnitusaegse anesteesia tekkene südame-+puudulikkus
O74.3	Sünnitamis- ja sünnitusaegse anesteesia tekkesed kesknärvisüsteemi tüsistused; Sünnitamis- ja sünnitusaegse anesteesia tekkene peaajuanoksia e -hapnikuvaegus
O74.4	Sünnitamis- ja sünnitusaegse paikse anesteesia toksiline reaktsioon
O74.5	Sünnitamis- ja sünnitusaegse spinaal- ja epiduraalanesteesia tekkene peavalu
O74.6	Sünnitamis- ja sünnitusaegse spinaal- ja epiduraalanesteesia tekkesed muud tüsistused
O74.7	Sünnitamis- ja sünnitusaegne ebaõnnestunud või raske intubatsioon
O74.8	Sünnitamis- ja sünnitusaegse anesteesia tekkesed muud tüsistused
O74.9	Sünnitamis- ja sünnitusaegse anesteesia tekkesed täpsustamata tüsistused
O75	Mujal klassifitseerimata sünnitamise ja sünnituse muud tüsistused
O75.0	Sünnitamis- ja sünnitusaegne ema distress
O75.1	Sünnitamis- ja sünnitusaegne või -järgne šokk; Sünnitusabišokk
O75.2	Mujal klassifitseerimata sünnitamisaegne palavikulisus e febriilne seisund
O75.3	Sünnitamisaegne muu nakkus; Sünnitamisaegne septitseemia
O75.4	Sünnitusabikirurgia ja -menetluste muud tüsistused; Südameseiskus+keisrilõike või muude sünnitusabioperatsioonide või menetluste, k.a teisiti täpsustamata sünnituse järgselt; Südamepuudulikkus+keisrilõike või muude sünnitusabioperatsioonide või menetluste, k.a teisiti täpsustamata sünnituse järgselt; Peaaju hapnikuvaegus+keisrilõike või muude sünnitusabioperatsioonide või menetluste, k.a teisiti täpsustamata sünnituse järgselt
O75.5	Lootevete tehisliku puhkemise järgne hilinenud sünnitus
O75.6	Lootevete spontaanse või täpsustamata puhkemise järgne hilinenud sünnitus
O75.7	Eelnevale keisrilõikele järgnev vaginaalne (tupe kaudu) sünnitus
O75.8	Sünnitamise ja sünnituse muud täpsustatud tüsistused
O75.9	Sünnitamise ja sünnituse täpsustamata tüsistus
O80	Iseeneslik e spontaanne üksiksünnitus
O80.0	Iseeneslik peaseis-sünnitus
O80.1	Iseeneslik tuharseis-sünnitus
O80.8	Muu iseeneslik üksiksünnitus
O80.9	Iseeneslik täpsustamata üksiksünnitus; Teisiti täpsustamata iseeneslik sünnitus
O80-O84	Sünnitus
O81	Vaakumekstraktsioon-ja tangüksiksünnitus
O81.0	Madaltangsünnitus [Väljapääsutangid]
O81.1	Õõnetangsünnitus e keskmised tangid
